block,ratio
10,0.6666666666666666
20,0.42857142857142855
30,0.25
40,0.25
50,0.19047619047619047
60,0.17647058823529413
70,0.22807017543859648
80,0.21212121212121213
90,0.2
100,0.19047619047619047
110,0.1702127659574468
120,0.1650485436893204
130,0.18181818181818182
140,0.16666666666666666
150,0.171875
160,0.1678832116788321
170,0.1564625850340136
180,0.16129032258064516
190,0.15853658536585366
200,0.14942528735632185
210,0.14754098360655737
220,0.14583333333333334
230,0.13861386138613863
240,0.1320754716981132
250,0.12612612612612611
260,0.13043478260869565
270,0.13445378151260504
280,0.13360323886639677
290,0.12840466926070038
300,0.1320754716981132
310,0.12727272727272726
320,0.1267605633802817
330,0.12244897959183673
340,0.13333333333333333
350,0.12903225806451613
360,0.13564668769716087
370,0.13496932515337423
380,0.13432835820895522
390,0.13702623906705538
400,0.13636363636363635
410,0.14206128133704735
420,0.14130434782608695
430,0.13756613756613756
440,0.13989637305699482
450,0.13924050632911392
460,0.13861386138613863
470,0.13801452784503632
480,0.13744075829383887
490,0.1368909512761021
500,0.13378684807256236
510,0.13839285714285715
520,0.14035087719298245
530,0.13733905579399142
540,0.13924050632911392
550,0.14345114345114346
560,0.14052953156822812
570,0.14
580,0.13725490196078433
590,0.1346153846153846
600,0.13636363636363635
610,0.13382899628252787
620,0.13761467889908258
630,0.14130434782608695
640,0.1408199643493761
650,0.14035087719298245
660,0.13793103448275862
670,0.13559322033898305
680,0.13333333333333333
690,0.1330049261083744
700,0.13268608414239483
710,0.13237639553429026
720,0.1320754716981132
730,0.13354037267080746
740,0.13149847094801223
750,0.13122171945701358
760,0.13263785394932937
770,0.1323529411764706
780,0.1320754716981132
790,0.1318051575931232
800,0.12994350282485875
810,0.12813370473537605
820,0.1279229711141678
830,0.12618724559023067
840,0.12449799196787148
850,0.12433862433862433
860,0.1256544502617801
870,0.12403100775193798
880,0.12388250319284802
890,0.1223203026481715
900,0.12781954887218044
910,0.1318407960199005
920,0.13022113022113022
930,0.13138686131386862
940,0.1338962605548854
950,0.13230035756853398
960,0.1320754716981132
970,0.13185530921820304
980,0.13557358053302435
990,0.13402061855670103
1000,0.13250283125707815
1010,0.13228699551569506
1020,0.13082039911308205
1030,0.13062568605927552
1040,0.12920738327904452
1050,0.12781954887218044
1060,0.1276595744680851
1070,0.12631578947368421
1080,0.12852664576802508
1090,0.12719751809720786
1100,0.1282051282051282
1110,0.12919633774160733
1120,0.1301715438950555
1130,0.12887112887112886
1140,0.12871287128712872
1150,0.12966601178781925
1160,0.12840466926070038
1170,0.13043478260869565
1180,0.13026819923371646
1190,0.13010446343779677
1200,0.1288805268109125
1210,0.12978524743230627
1220,0.12858464384828863
1230,0.12740604949587533
1240,0.12727272727272726
1250,0.12612612612612611
1260,0.1260053619302949
1270,0.12688553682342502
1280,0.1267605633802817
1290,0.1256544502617801
1300,0.1245674740484429
1310,0.12446351931330472
1320,0.12531969309462915
1330,0.12616426756985605
1340,0.12510495382031905
1350,0.125
1360,0.12489660876757651
1370,0.12387202625102543
1380,0.12286411716842961
1390,0.12187247780468119
1400,0.12089671737389912
1410,0.12082670906200318
1420,0.12164296998420221
1430,0.12156862745098039
1440,0.12236944660950896
1450,0.12229102167182662
1460,0.12307692307692308
1470,0.12557427258805512
1480,0.12547528517110265
1490,0.12537764350453173
1500,0.12443778110944528
1510,0.12351190476190477
1520,0.12259970457902511
1530,0.12252384446074835
1540,0.12163146394756008
1550,0.12400290065264685
1560,0.1247296322999279
1570,0.12383679312813171
1580,0.12455516014234876
1590,0.12367491166077739
