block,ratio
10,0.0
20,0.05263157894736842
30,0.2
40,0.21212121212121213
50,0.19047619047619047
60,0.15384615384615385
70,0.16666666666666666
80,0.17647058823529413
90,0.15384615384615385
100,0.16279069767441862
110,0.14583333333333334
120,0.1650485436893204
130,0.1504424778761062
140,0.15702479338842976
150,0.1450381679389313
160,0.14285714285714285
170,0.14864864864864866
180,0.1464968152866242
190,0.14457831325301204
200,0.14285714285714285
210,0.14754098360655737
220,0.1518324607329843
230,0.15577889447236182
240,0.15384615384615385
250,0.16279069767441862
260,0.17117117117117117
270,0.16883116883116883
280,0.18143459915611815
290,0.1934156378600823
300,0.1952191235059761
310,0.1969111969111969
320,0.1895910780669145
330,0.18705035971223022
340,0.18466898954703834
350,0.1864406779661017
360,0.18032786885245902
370,0.1746031746031746
380,0.1728395061728395
390,0.1782477341389728
400,0.17647058823529413
410,0.17478510028653296
420,0.1797752808988764
430,0.1780821917808219
440,0.17962466487935658
450,0.18110236220472442
460,0.18251928020565553
470,0.17794486215538846
480,0.17936117936117937
490,0.1922141119221411
500,0.19331742243436753
510,0.19158878504672897
520,0.1926605504587156
530,0.19369369369369369
540,0.1973392461197339
550,0.19825708061002179
560,0.19914346895074947
570,0.1949685534591195
580,0.19834710743801653
590,0.19675456389452334
600,0.19760479041916168
610,0.19607843137254902
620,0.19922630560928434
630,0.20229007633587787
640,0.20754716981132076
650,0.20593692022263452
660,0.20218579234972678
670,0.19856887298747763
680,0.19718309859154928
690,0.19791666666666666
700,0.19658119658119658
710,0.19327731092436976
720,0.19205298013245034
730,0.19281045751633988
740,0.19547657512116318
750,0.19236883942766295
760,0.19122257053291536
770,0.1901081916537867
780,0.1872146118721461
790,0.18618618618618618
800,0.1834319526627219
810,0.18248175182481752
820,0.17985611510791366
830,0.17897727272727273
840,0.1797752808988764
850,0.18055555555555555
860,0.1780821917808219
870,0.18046132971506107
880,0.1827956989247312
890,0.18351063829787234
900,0.18421052631578946
910,0.18335500650195058
920,0.18251928020565553
930,0.183206106870229
940,0.18090452261306533
950,0.17866004962779156
960,0.17791411042944785
970,0.17718446601941748
980,0.1778846153846154
990,0.17717003567181927
1000,0.17647058823529413
1010,0.17578579743888242
1020,0.17647058823529413
1030,0.17714285714285713
1040,0.1751412429378531
1050,0.17318435754189945
1060,0.17256637168141592
1070,0.171960569550931
1080,0.17136659436008678
1090,0.17078410311493017
1100,0.1702127659574468
1110,0.1696522655426765
1120,0.16910229645093947
1130,0.17098445595854922
1140,0.1704312114989733
1150,0.17346938775510204
1160,0.1752786220871327
1170,0.1746987951807229
1180,0.17296222664015903
1190,0.17125984251968504
1200,0.17416829745596868
1210,0.17589893100097181
1220,0.17647058823529413
